brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
giorgio armani,Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-827.html,femme,,1981,green;aromatic;woody;balsamic;amber;mossy;floral;white floral;earthy;sweet,Galbanum;Marigold;Aldehydes;Bergamot;Pineapple;Mint,Narcissus;Orris Root;Tuberose;Rose;Jasmine;Cyclamen;Lily-of-the-Valley;Orchid,Oakmoss;Benzoin;Cedar;Amber;Sandalwood;Tonka Bean;Musk,,,,195,85,54,216,138,190,4.31
giorgio armani,Giò,https://www.fragrantica.com/perfume/Giorgio-Armani/Gio-418.html,femme,,1992,white floral;warm spicy;woody;floral;amber;tuberose;powdery;citrus;animalic;green,Jasmine;Hyacinth;Sicilian Mandarin;Red Rose;Brazilian Rosewood;Bergamot;Violet,Tuberose;Gardenia;Carnation;Cloves;Peach;Orange Blossom;White Flowers;Myrrh;Ylang-Ylang;Iris;Orris Root;Cassia;Lily-of-the-Valley,Amber;Sandalwood;Styrax;Vanilla;Musk;Cedar,,,,367,197,145,363,303,409,4.28
giorgio armani,Acqua di Gio,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html,homme,,1996,citrus;aromatic;marine;fresh spicy;floral;woody;fresh,Lime;Lemon;Bergamot;Jasmine;Orange;Mandarin Orange;Neroli,Sea Notes;Jasmine;Calone;Rosemary;Peach;Freesia;Hiacynth;Cyclamen;Violet;Coriander;Rose;Nutmeg;Mignonette,White Musk;Cedar;Oakmoss;Patchouli;Amber,,,,1400,9500,13800,2600,12800,2800,4.12
giorgio armani,Acqua di Gio,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-411.html,femme,,1995,floral;fresh;white floral;green;rose;fruity;sweet;vodka;woody;powdery,Peony;Musk Vodka;Pineapple;Lemon;Peach;Banana Leaf;Violet,Lily-of-the-Valley;Hiacynth;Lily;Jasmine;Freesia;Calone;Ylang-Ylang;Rose,Musk;Cedar;Sandalwood;Amber;Styrax,,,,195,1300,1800,312,1900,300,3.98
giorgio armani,Acqua di Gio - Acqua di Life Edition,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Acqua-di-Life-Edition-11755.html,homme,,2011,marine;aromatic;fresh spicy;citrus;amber;sweet;salty;green;woody;fruity,Sea water;Bergamot;Neroli,Persimmon;Watercress;Rosemary,Amber;French labdanum;Patchouli,,,,8,30,46,10,54,14,4.10
giorgio armani,Acqua di Giò Absolu,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Absolu-48138.html,homme,,2018,aromatic;woody;citrus;fresh spicy;amber;marine;fruity;warm spicy;sweet;aquatic,Sea Notes;Bergamot;Pear;Apple;Grapefruit;Lemon,Lavender;Rosemary;Geranium,Woody Notes;Tonka Bean;Amberwood;Patchouli,,,,794,2100,2000,1800,2100,1500,4.11
giorgio armani,Acqua di Giò Absolu Instinct,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Absolu-Instinct-53764.html,homme,,2019,woody;citrus;marine;aromatic;amber;warm spicy;aquatic;patchouli,Sea Notes;Lemon;Bergamot,Seaweed;Patchouli,Amberwood;Ebony Wood,,,,152,369,345,374,346,337,4.07
giorgio armani,Acqua di Gio Blue Edition Pour Homme,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Blue-Edition-Pour-Homme-25615.html,homme,,2014,citrus;aquatic;fresh spicy;white floral;floral;fresh;amber;aromatic;sweet;woody,,,,Water Notes;Calabrian bergamot;Jasmine;Mandarin Orange;Persimmon;Nasturtium;Patchouli;Rosemary;Labdanum;Neroli;Amber,,,6,63,93,20,85,23,4.10
giorgio armani,Acqua di Giò Eau de Parfum,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Eau-de-Parfum-71606.html,homme,Eau de Parfum,2022,aromatic;marine;mineral;citrus;fresh spicy;lavender;salty;woody,Sea Notes;Green Mandarin,Clary Sage;Lavender;Geranium,Mineral notes;Vetiver;Patchouli,,,,293,2200,2500,888,2300,746,4.06
giorgio armani,Acqua di Giò Eau de Parfum Intense,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Eau-de-Parfum-Intense-122311.html,homme,Eau de Parfum,2026,aromatic;fruity;marine;woody;citrus;fresh;fresh spicy;green;soft spicy;aquatic,Green Apple;Calabrian bergamot,Marine notes;Clary Sage,Woody Notes;Amber,,,,50,220,243,106,209,109,3.91
