brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
byredo,1996 Inez & Vinoodh,https://www.fragrantica.com/perfume/Byredo/1996-Inez-Vinoodh-19247.html,unisexe,,2013,"leather;aromatic;fresh spicy;woody;animalic;smoky;powdery;patchouli","Juniper Berries;Black Pepper","Leather;Orris;Violet","Patchouli;Black Amber;Vanilla",,,,715,256,128,823,503,635,3.88
byredo,Accord Oud,https://www.fragrantica.com/perfume/Byredo/Accord-Oud-10757.html,unisexe,Eau de Parfum,2010,"leather;fruity;oud;warm spicy;rum;sweet;animalic;woody;aromatic;patchouli","Blackberry;Rum;Saffron","Leather;Agarwood (Oud);Clary Sage","Patchouli;Musk",,,,408,217,107,468,361,350,4.06
byredo,Alto Astral,https://www.fragrantica.com/perfume/Byredo/Alto-Astral-111517.html,unisexe,,2025,"musky;woody;powdery;aldehydic;amber;fresh;warm spicy;white floral;balsamic;smoky","Coconut Water;Aldehydes","Musk;Incense;Jasmine","Cashmeran;Sandalwood;Amber",,,,103,400,470,296,433,162,3.75
byredo,Animalique,https://www.fragrantica.com/perfume/Byredo/Animalique-85157.html,unisexe,Eau de Parfum,2023,"powdery;leather;violet;musky;tobacco;amber;sweet;floral;yellow floral","Bergamot;Lemon","Violet;Mimosa","Suede;Tobacco Leaf;Amber",,,,639,394,149,715,479,549,4.05
byredo,Bal d'Afrique,https://www.fragrantica.com/perfume/Byredo/Bal-d-Afrique-6458.html,unisexe,Eau de Parfum,2009,"woody;aromatic;earthy;violet;floral;powdery;fresh;green",,,,,,,,,,,,,4.14
byredo,Baudelaire,https://www.fragrantica.com/perfume/Byredo/Baudelaire-7458.html,homme,,2009,"fresh spicy;woody;amber;aromatic;leather;smoky;warm spicy;patchouli;balsamic;animalic","Juniper Berries;Pepper;Caraway","Leather;Incense;Hyacinth","Patchouli;Papyrus;Amber",,,,135,108,43,178,142,118,4.03
byredo,Belle de Tanger,https://www.fragrantica.com/perfume/Byredo/Belle-de-Tanger-40622.html,unisexe,,2016,"citrus;powdery;woody;iris;violet;fresh;musky;earthy;amber;floral",Bitter Orange,"Orris;Violet",Cashmere Wood,,,,6,13,15,7,14,3,3.89
byredo,Bibliothèque,https://www.fragrantica.com/perfume/Byredo/Bibliotheque-43324.html,unisexe,Eau de Parfum,2017,"fruity;leather;powdery;sweet;violet;animalic;patchouli;vanilla;floral;woody","Plum;Peach","Violet;Peony","Leather;Patchouli;Vanilla;Musk",,,,1300,856,422,1900,1400,1000,3.72
byredo,Black Saffron,https://www.fragrantica.com/perfume/Byredo/Black-Saffron-16220.html,unisexe,,2012,"leather;fruity;woody;aromatic;warm spicy;sweet;animalic;powdery;metallic;fresh spicy","Saffron;Juniper Berries;Chinese Grapefruit","Leather;Black Violet","Raspberry;Cashmeran;Vetiver",,,,1100,906,406,1400,1100,1100,3.92
byredo,Blanche,https://www.fragrantica.com/perfume/Byredo/Blanche-6686.html,femme,Eau de Parfum,2009,"fresh;aldehydic;musky;powdery;floral;rose;violet;soapy;woody;white floral","Aldehydes;Rose;Pink Pepper","Peony;Violet;African Orange Flower","Musk;Woodsy Notes;Sandalwood",,,,1200,3200,2800,1200,3400,574,3.70
