brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
dior,Bonne Étoile Baby Dior,https://www.fragrantica.com/perfume/Dior/Bonne-Etoile-Baby-Dior-87597.html,unisexe,Parfum,2023,"musky;powdery;animalic;sweet;rose",Green Pear,Wild Rose,White Musk,,,,10,13,11,10,12,8,3.64
dior,Chris 1947,https://www.fragrantica.com/perfume/Dior/Chris-1947-1383.html,femme,Eau de Parfum,2003,"floral;powdery;musky;green;violet;fruity;sweet;white floral;fresh",Cranberry,"Sweet Pea;Violet;Freesia;Lily-of-the-Valley;Cactus",Musk,,,,16,97,106,20,124,28,3.92
dior,Dior Dior,https://www.fragrantica.com/perfume/Dior/Dior-Dior-2607.html,femme,Eau de Parfum,1976,"white floral;fresh;woody;green;floral;mossy;aldehydic;yellow floral;amber;earthy",,,,,,,,,,,,,4.35
dior,"Dior Me, Dior Me Not",https://www.fragrantica.com/perfume/Dior/Dior-Me-Dior-Me-Not-1380.html,femme,Eau de Parfum,2004,"floral;fresh;aquatic;sweet;powdery;violet;cherry;musky","Water Notes;Sweet Pea","Peony;Freesia;Violet","Cherry;Musk",,,,6,95,62,15,101,13,3.69
dior,Dior Star,https://www.fragrantica.com/perfume/Dior/Dior-Star-1296.html,femme,Eau de Parfum,2005,"citrus;floral;white floral;fruity;fresh;fresh spicy;aromatic;rose;green;almond","Bergamot;Petitgrain;Mandarin Orange","Peony;Honeysuckle","Almond;Musk",,,,,,,,,,3.88
dior,Diorama,https://www.fragrantica.com/perfume/Dior/Diorama-2608.html,femme,Eau de Parfum,1948,"white floral;woody;fruity;animalic;fresh spicy;musky;powdery;leather;warm spicy;earthy","Plum;Peach;Melon;Bergamot","Gardenia;Jasmine;Tuberose;Rose;Cinnamon;Caraway;Violet;Pepper;Nutmeg;Clove;Lily-of-the-Valley","oak moss;Civetta;Castoreum;Leather;Vetiver;Sandalwood;Musk;Virginia Cedar",,,,22,44,21,44,49,44,4.30
dior,Diorella,https://www.fragrantica.com/perfume/Dior/Diorella-226.html,femme,Eau de Toilette,1972,"citrus;green;aromatic;white floral;earthy;mossy;fresh spicy;fruity;woody;floral","Green Notes;Sicilian Lemon;Bergamot;Basil;Melon","Honeysuckle;Moroccan Jasmine;Peach;Carnation;Cyclamen;Rose","Oakmoss;Vetiver;Patchouli;Musk",,,,112,405,275,196,441,115,4.20
dior,Diorella Parfum,https://www.fragrantica.com/perfume/Dior/Diorella-Parfum-33613.html,femme,Parfum,1972,"citrus;white floral;fruity;earthy;woody;green;aromatic;mossy;fresh;floral","Bergamot;Green Notes;Melon;Lemon","Honeysuckle;Peach;Jasmine;Rose;Cyclamen","Oakmoss;Vetiver;Patchouli;Musk",,,,20,40,26,30,39,19,4.54
dior,Diorever,https://www.fragrantica.com/perfume/Dior/Diorever-29353.html,femme,Eau de Parfum,2000,,,,,,,,3,2,2,1,4,4,4.07
dior,Diorissimo,https://www.fragrantica.com/perfume/Dior/Diorissimo-224.html,femme,Eau de Parfum,1956,"white floral;green;fresh;floral;soapy",,,,,,,,,,,,,4.13
